# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19999
1	0	21516
2	0	23198
3	0	24956
4	0	26848
5	0	28683
6	0	30631
7	0	32679
8	0	34889
9	0	37117
10	0	39304
11	0	41651
12	0	43945
13	0	46254
14	0	48513
15	0	50647
16	0	52637
17	0	54355
18	0	55698
19	0	56863
20	0	57650
21	0	58248
22	0	58478
23	0	58530
24	0	58413
25	0	58133
26	0	57862
27	0	57485
28	0	57036
29	0	56782
30	0	56356
31	0	55989
32	0	55701
33	0	55306
34	0	55073
35	0	54927
36	0	54742
37	0	54601
38	0	54444
39	0	54330
40	0	54300
41	0	54226
42	0	54211
43	0	54153
44	0	54016
45	0	53978
46	0	54047
47	0	53964
48	0	54084
49	0	54158
50	0	54181
51	0	54305
52	0	54356
53	0	54474
54	0	54557
55	0	54565
56	0	54664
57	0	54601
58	0	54541
59	0	54625
60	0	54684
61	0	54754
62	0	54794
63	0	54743
64	0	54751
65	17	54711
66	25	54697
67	34	54676
68	46	54532
69	59	54511
70	84	54573
71	118	54583
72	154	54567
73	199	54487
74	271	54346
75	331	54416
76	442	54434
77	580	54458
78	720	54530
79	911	54571
80	1133	54467
81	1362	54409
82	1682	54354
83	2007	54274
84	2354	54262
85	2782	54221
86	3124	54121
87	3504	54131
88	3902	54059
89	4309	54020
90	4659	54101
91	4982	54068
92	5284	54052
93	5615	53999
94	5846	54004
95	6106	54181
96	6391	54213
97	6534	54206
98	6809	54240
99	6928	54349
100	7054	54346
101	7136	54311
102	7181	54444
103	7200	54519
104	7227	54527
105	7040	54451
106	6989	54480
107	6947	54508
108	6835	54497
109	6703	54497
110	6509	54524
111	6387	54550
112	6152	54554
113	5992	54526
114	5828	54560
115	5658	54498
116	5542	54571
117	5366	54565
118	5189	54546
119	5046	54401
120	4933	54238
121	4829	54245
122	4785	54279
123	4646	54288
124	4529	54345
125	4439	54327
126	4306	54373
127	4183	54475
128	4051	54524
129	3893	54472
130	3766	54405
131	3639	54344
132	3566	54267
133	3438	54273
134	3330	54181
135	3252	54179
136	3138	54297
137	3098	54380
138	3023	54422
139	2920	54383
140	2784	54427
141	2688	54522
142	2592	54524
143	2414	54619
144	2236	54620
145	2053	54619
146	1882	54592
147	1739	54509
148	1545	54525
149	1364	54482
150	1164	54633
151	1015	54680
152	831	54713
153	696	54688
154	583	54636
155	485	54695
156	397	54680
157	331	54778
158	271	54759
159	216	54670
160	180	54651
161	130	54474
162	89	54516
163	71	54508
164	56	54598
165	40	54571
166	34	54589
167	25	54576
168	16	54596
169	11	54562
170	9	54639
171	5	54566
172	5	54638
173	2	54593
174	1	54596
175	1	54476
176	2	54431
